Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,Hundred,Fifty,Zero,Fours,Sixes,Cluster
KDK Vithanage ,2014-2016,3,3,0,40,38,13.33,34,117.64,0,0,0,7,0,0
RR David ,2008-2008,4,4,0,39,17,9.75,65,60,0,0,0,2,1,0
BR Dunk ,2014-2014,3,3,0,39,23,13,34,114.7,0,0,0,3,1,0
EMDY Munaweera ,2012-2013,4,4,1,39,17,13,42,92.85,0,0,0,5,0,0
Munir Dar ,2014-2014,2,2,0,39,36,19.5,33,118.18,0,0,0,3,1,0
Rafatullah Mohmand ,2015-2015,3,3,0,39,23,13,45,86.66,0,0,1,4,0,0
RI Ahmed ,2015-2015,2,2,0,38,25,19,50,76,0,0,0,2,0,0
C Carter ,2015-2016,8,4,1,38,15,12.66,42,90.47,0,0,0,3,0,0
R Flannigan ,2012-2012,4,4,1,38,18,12.66,33,115.15,0,0,1,4,0,0
AV Lalcheta ,2015-2016,11,5,2,38,16,12.66,29,131.03,0,0,0,6,0,0
NJ Maddinson ,2013-2014,2,2,0,38,34,19,22,172.72,0,0,0,6,1,0
D Mongia ,2006-2006,1,1,0,38,38,38,45,84.44,0,0,0,4,1,0
F Mutizwa ,2011-2012,3,3,0,38,22,12.66,36,105.55,0,0,1,3,0,0
BJ Watling ,2009-2014,5,4,0,38,22,9.5,58,65.51,0,0,0,3,0,0
SJ Benn ,2008-2016,24,7,4,37,13,12.33,42,88.09,0,0,1,5,1,0
JS Foster ,2009-2009,5,5,2,37,14,12.33,32,115.62,0,0,0,0,1,0
RM Hira ,2012-2013,15,3,1,37,20,18.5,33,112.12,0,0,0,4,1,0
RJ Campbell ,2016-2016,3,3,0,36,27,12,47,76.59,0,0,1,6,0,0
PA Patel ,2011-2011,2,2,0,36,26,18,32,112.5,0,0,0,4,1,0
Aaqib Sulehri ,2015-2016,5,5,1,35,16,8.75,41,85.36,0,0,0,5,0,0
STR Binny ,2015-2016,3,2,0,35,24,17.5,29,120.68,0,0,0,2,1,0
BCJ Cutting ,2013-2014,4,3,0,35,29,11.66,23,152.17,0,0,1,1,3,0
VV Morea ,2015-2016,4,4,0,35,19,8.75,41,85.36,0,0,0,4,0,0
D Murphy ,2013-2013,4,4,3,35,20,35,35,100,0,0,0,1,0,0
MP O'Dowd ,2015-2016,5,4,1,35,17,11.66,39,89.74,0,0,0,1,1,0
Shuvagata Hom ,2016-2016,5,4,2,35,16,17.5,35,100,0,0,0,3,1,0
Arafat Sunny ,2014-2016,10,6,3,34,10,11.33,30,113.33,0,0,0,3,1,0
Hammad Azam ,2012-2013,5,4,1,34,21,11.33,34,100,0,0,0,3,1,0
JD Nel ,2007-2010,10,5,2,34,13,11.33,25,136,0,0,1,3,1,0
OL Pitcher ,2008-2008,3,3,0,34,15,11.33,53,64.15,0,0,0,1,0,0
T van der Gugten ,2012-2016,22,5,2,34,12,11.33,29,117.24,0,0,0,1,2,0
GO Jones ,2005-2006,2,2,1,33,19,33,25,132,0,0,0,5,0,0
MF Maharoof ,2006-2016,8,5,1,33,13,8.25,43,76.74,0,0,1,0,1,0
RJMGM Rupasinghe ,2009-2009,2,2,0,33,18,16.5,39,84.61,0,0,0,2,0,0
WPUJC Vaas ,2006-2007,6,2,1,33,21,33,41,80.48,0,0,0,1,0,0
WD Balaji Rao ,2008-2008,4,4,1,32,22,10.66,30,106.66,0,0,1,1,2,0
SE Findlay ,2008-2008,2,2,0,32,19,16,31,103.22,0,0,0,4,0,0
TG Gordon ,2012-2012,3,3,0,32,23,10.66,37,86.48,0,0,0,3,0,0
GA Lamb ,2010-2010,5,4,2,32,14,16,54,59.25,0,0,1,1,0,0
AR McBrine ,2014-2016,12,5,3,32,10,16,26,123.07,0,0,0,3,0,0
SNJ O'Keefe ,2010-2011,7,5,0,32,22,6.4,26,123.07,0,0,0,4,1,0
J Theron ,2010-2012,9,3,3,32,31,0,21,152.38,0,0,0,3,1,0
JC Tredwell ,2012-2014,17,6,3,32,22,10.66,20,160,0,0,1,4,1,0
B Bhandari ,2014-2015,10,10,2,31,13,3.87,51,60.78,0,0,1,3,0,0
TR Birt ,2010-2012,4,3,0,31,17,10.33,33,93.93,0,0,0,3,1,0
R Dravid ,2011-2011,1,1,0,31,31,31,21,147.61,0,0,0,0,3,0
Jahurul Islam ,2010-2013,3,3,0,31,18,10.33,23,134.78,0,0,0,3,1,0
PA Nixon ,2007-2007,1,1,1,31,31,0,22,140.9,0,0,0,2,1,0
H Osinde ,2008-2013,11,6,2,31,17,7.75,34,91.17,0,0,0,1,2,0
WW Hinds ,2006-2010,5,5,1,30,14,7.5,41,73.17,0,0,1,3,0,0
Ehsan Khan ,2016-2016,1,1,1,29,29,0,22,131.81,0,0,0,2,1,0
WB Rankin ,2009-2016,22,5,4,29,16,29,28,103.57,0,0,0,2,1,0
Abdul Shakoor ,2015-2015,4,3,1,28,20,14,34,82.35,0,0,0,2,0,0
S Badree ,2012-2016,32,8,5,28,14,9.33,43,65.11,0,0,0,1,0,0
TE Kane ,2015-2015,5,2,1,28,26,28,20,140,0,0,0,3,0,0
A Nehra ,2009-2016,23,5,0,28,22,5.6,39,71.79,0,0,3,1,2,0
PJ Ongondo ,2007-2008,8,6,0,28,16,4.66,23,121.73,0,0,2,1,2,0
AU Rashid ,2009-2016,20,8,5,28,9,9.33,37,75.67,0,0,0,1,0,0
NE Bonner ,2011-2012,2,2,0,27,24,13.5,38,71.05,0,0,0,2,0,0
Mohammad Iqbal ,2008-2008,3,3,0,27,22,9,39,69.23,0,0,0,1,0,0
Nadeem Ahmed ,2014-2016,21,8,4,27,10,6.75,39,69.23,0,0,1,2,0,0
Nadif Chowdhury ,2006-2007,3,3,0,27,12,9,23,117.39,0,0,0,2,0,0
MP Vaughan ,2005-2007,2,2,0,27,27,13.5,22,122.72,0,0,1,4,0,0
Zulfiqar Babar ,2013-2014,7,3,3,27,13,0,27,100,0,0,0,2,1,0
D Ganga ,2006-2006,1,1,0,26,26,26,31,83.87,0,0,0,3,1,0
Hamza Tariq ,2013-2013,3,2,0,26,22,13,23,113.04,0,0,0,0,2,0
TJ Murtagh ,2012-2016,14,5,3,26,12,13,25,104,0,0,0,0,1,0
Shapoor Zadran ,2010-2016,27,12,5,26,13,3.71,63,41.26,0,0,3,0,3,0
RA Bhatti ,2012-2012,4,4,1,25,11,8.33,37,67.56,0,0,1,1,0,0
PJ Cummins ,2011-2015,15,8,2,25,13,4.16,31,80.64,0,0,2,1,1,0
AM Ellis ,2012-2013,5,5,2,25,16,8.33,21,119.04,0,0,0,1,1,0
CRD Fernando ,2006-2016,18,7,2,25,21,5,27,92.59,0,0,2,4,0,0
G Goudie ,2010-2013,9,6,2,25,9,6.25,20,125,0,0,0,2,1,0
RK Kleinveldt ,2008-2013,6,3,2,25,22,25,10,250,0,0,0,1,3,0
PM Nevill ,2016-2016,9,5,4,25,10,25,11,227.27,0,0,0,1,2,0
N Pooran ,2016-2016,3,3,0,25,16,8.33,22,113.63,0,0,0,2,1,0
Raza-ur-Rehman ,2012-2013,5,4,0,25,10,6.25,29,86.2,0,0,0,3,0,0
Shahriar Nafees ,2006-2006,1,1,0,25,25,25,17,147.05,0,0,0,3,1,0
Waqas Khan ,2014-2016,5,4,2,25,19,12.5,42,59.52,0,0,1,1,0,0
MRJ Watt ,2015-2016,14,5,3,25,11,12.5,17,147.05,0,0,1,2,1,0
Amjad Gul ,2015-2015,1,1,0,24,24,24,21,114.28,0,0,0,3,1,0
JW Dernbach ,2011-2014,34,7,2,24,12,4.8,21,114.28,0,0,1,3,0,0
JN Gillespie ,2005-2005,1,1,0,24,24,24,18,133.33,0,0,0,4,0,0
Rameez Raja ,2011-2011,2,2,0,24,23,12,29,82.75,0,0,0,2,0,0
CP Schofield ,2007-2007,4,4,3,24,9,24,20,120,0,0,0,2,0,0
C Zhuwao ,2008-2011,5,5,0,24,12,4.8,39,61.53,0,0,3,4,0,0
KJ Abbott ,2013-2016,21,6,4,23,9,11.5,20,115,0,0,0,2,0,0
AB Barath ,2010-2011,2,2,0,23,15,11.5,39,58.97,0,0,0,3,0,0
